Year,Album,Artist,Sales
2000,The Marshall Mathers LP,Eminem,32
2000,1,The Beatles,31
2002,The Eminem Show,Eminem,30
2011,21,Adele,31
2000,Hybrid Theory,Linkin Park,27
2000,Oops!... I Did It Again	,Britney Spears,25
2000,Black & Blue,Backstreet Boys,24
2000,Music,Madonna,20
2000,No Strings Attached,NSYNC,20
2001,Missundaztood,Pink,20
2002,Come Away with Me,Norah Jones,25
2002,Let Go,Avril Lavigne,23
2004,Encore,Eminem,21
2004,Meteora,Linkin Park,20
2004,Confessions,Usher,20
2006,Back to Black,Amy Winehouse,20
2015,25,Adele,20
2000,Christina Aguilera,Christina Aguilera,17
2000,Enrique,Enrique Iglesias,10
2001,Laundry Service,Shakria,15
2001,Britney,Britney Spears,15
2001,Invincible,Michael Jackson,13
2001,Escape,Enrique Iglesias,12
2002,A Rush of Blood to the Head,Coldplay,18
2002,Stripped,Christina Aguilera,13
2002,A New Day Has Come,Celine Dion,12
2002,Justified,Justin Timerlake,10
2003,Fallen,Evanescence,17
2003,Number Ones,Michael Jackson,13
2003,Life for Rent,Dido,13
2003,Dangerously in Love,Beyonce,12
2003,Get Rich or Die Tryin',50 Cent,12
2003,In the Zone,Britney Spears,10
2004,Under My Skin,Avril Lavigne,18
2004,American Idiot,Green Day,15
2004,Breakaway,Kelly Clarkson,15
2005,Confessions on a Dance Floor,Madonna,15
2005,X&Y,Coldplay,15
2005,The Emancipation of Mimi,Mariah Carey,12
2006,FutureSex/LoveSounds,Justin Timerlake,10
2007,Under My Skin,Avril Lavigne,16
2008,The Fame,Lady Gaga,15
2009,I Dreamed a Dream,Susan Boyle,10
2010,Recovery,Eminem,15
2013,Frozen,Various Artists,10
